iter	Logloss
0	0.6930994159
1	0.6930511491
2	0.6930027863
3	0.6929546508
4	0.6929060417
5	0.6928583124
6	0.6928075146
7	0.6927597354
8	0.6927108444
9	0.6926634072
10	0.692613258
11	0.6925665191
12	0.6925168997
13	0.6924717317
14	0.6924235421
15	0.6923749623
16	0.6923252527
17	0.6922767985
18	0.6922283399
19	0.6921819257
20	0.6921343216
21	0.6920912612
22	0.6920495511
23	0.6920021219
24	0.6919554602
25	0.6919055612
26	0.6918610711
27	0.6918137119
28	0.6917675562
29	0.6917198087
30	0.6916691577
31	0.6916231403
32	0.6915766092
33	0.6915297976
34	0.6914827396
35	0.691433286
36	0.6913892678
37	0.6913420032
38	0.6912966823
39	0.6912486409
40	0.691198401
41	0.6911450718
42	0.6910971264
43	0.6910524805
44	0.6910039345
45	0.6909546319
46	0.6909105406
47	0.6908658635
48	0.6908199149
49	0.6907756359
50	0.6907270178
51	0.6906845704
52	0.6906372053
53	0.6905905679
54	0.6905409351
55	0.6904962687
56	0.6904477391
57	0.6904026665
58	0.6903539439
59	0.6903099423
60	0.6902617396
61	0.6902164104
62	0.6901735582
63	0.6901217636
64	0.690075087
65	0.6900271065
66	0.6899782501
67	0.6899335785
68	0.6898853031
69	0.6898432815
70	0.689799545
71	0.6897531344
72	0.6897085137
73	0.6896603982
74	0.6896171134
75	0.6895688007
76	0.689517129
77	0.6894688673
78	0.6894228323
79	0.6893783561
80	0.6893257881
81	0.6892814816
82	0.689238284
83	0.689195578
84	0.6891472609
85	0.6891056943
86	0.6890539812
87	0.6890076617
88	0.6889638599
89	0.6889195968
90	0.6888669373
91	0.6888207495
92	0.6887737311
93	0.6887255993
94	0.688681322
95	0.688634203
96	0.6885864859
97	0.6885451614
98	0.6884969436
99	0.6884535712
100	0.6884066819
101	0.688358864
102	0.6883129676
103	0.6882625597
104	0.6882165629
105	0.6881726713
106	0.68812821
107	0.6880846326
108	0.6880351585
109	0.6879845373
110	0.6879413588
111	0.6878942645
112	0.6878462405
113	0.6878000386
114	0.687757309
115	0.6877142503
116	0.6876683742
117	0.6876175344
118	0.6875716447
119	0.6875286206
120	0.6874828852
121	0.6874416674
122	0.6873990004
123	0.6873531715
124	0.6873065178
125	0.6872629426
126	0.6872175208
127	0.68717497
128	0.6871315007
129	0.6870878164
130	0.6870429963
131	0.6870018966
132	0.6869574857
133	0.6869128713
134	0.6868708773
135	0.6868258596
136	0.6867792707
137	0.6867334096
138	0.6866871209
139	0.6866435375
140	0.6865936055
141	0.6865506482
142	0.6865048692
143	0.6864633866
144	0.6864170173
145	0.6863707652
146	0.6863273164
147	0.6862809491
148	0.6862369455
149	0.6861932562
150	0.6861471637
151	0.6861021916
152	0.6860621596
153	0.6860160616
154	0.6859706135
155	0.6859247834
156	0.6858831062
157	0.6858446982
158	0.6858027991
159	0.6857606445
160	0.6857116968
161	0.685663353
162	0.6856216237
163	0.6855821774
164	0.6855332782
165	0.6854882527
166	0.6854471174
167	0.6854049565
168	0.6853595389
169	0.6853147068
170	0.685274554
171	0.6852308803
172	0.6851858055
173	0.6851449008
174	0.6851007524
175	0.6850598733
176	0.6850182136
177	0.6849736105
178	0.6849276555
179	0.6848819484
180	0.6848386106
181	0.6847996746
182	0.6847564146
183	0.6847074214
184	0.6846641065
185	0.6846230064
186	0.684581681
187	0.6845382791
188	0.6844989812
189	0.6844574978
190	0.6844087861
191	0.6843686101
192	0.6843262307
193	0.6842811337
194	0.6842403908
195	0.6841991732
196	0.6841513344
197	0.6841067188
198	0.6840652604
199	0.6840250137
