iter	Passed	Remaining
0	549	109427
1	991	98161
2	1485	97577
3	1699	83269
4	2101	81956
5	2597	83998
6	3093	85304
7	3543	85044
8	4032	85589
9	4539	86251
10	4974	85471
11	5434	85143
12	5902	84910
13	6399	85025
14	6878	84833
15	7349	84524
16	7808	84050
17	8302	83943
18	8780	83644
19	9230	83074
20	9661	82355
21	10116	81854
22	10615	81690
23	11002	80683
24	11484	80391
25	11830	79173
26	12307	78857
27	12719	78136
28	13187	77760
29	13648	77340
30	13975	76188
31	14416	75684
32	14715	74467
33	15233	74376
34	15824	74601
35	16349	74482
36	17043	75083
37	17603	75045
38	18094	74697
39	18562	74249
40	19067	73943
41	19574	73638
42	20132	73508
43	20910	74136
44	21410	73748
45	22000	73652
46	22568	73466
47	23123	73223
48	23509	72446
49	24123	72370
50	24539	71692
51	24986	71115
52	25469	70641
53	25967	70208
54	26245	69191
55	26747	68779
56	27160	68140
57	27551	67452
58	27777	66384
59	28134	65647
60	28554	65067
61	28977	64497
62	29276	63664
63	29639	62983
64	30151	62622
65	30625	62179
66	31158	61851
67	31609	61360
68	32132	61004
69	32682	60695
70	33132	60198
71	33544	59634
72	33970	59099
73	34583	58885
74	34985	58309
75	35494	57912
76	35819	57218
77	36293	56766
78	36750	56288
79	37268	55903
80	37777	55500
81	38320	55144
82	38819	54721
83	39235	54182
84	39667	53668
85	40124	53188
86	40335	52390
87	40560	51622
88	40827	50919
89	41157	50303
90	41440	49637
91	41795	49063
92	42292	48659
93	42751	48209
94	43204	47752
95	43662	47300
96	44122	46851
97	44610	46431
98	44999	45908
99	45374	45374
100	45871	44963
101	46236	44423
102	46763	44039
103	47312	43672
104	47846	43290
105	48355	42881
106	48769	42388
107	49355	42043
108	49875	41639
109	50417	41250
110	50896	40808
111	51309	40314
112	51837	39909
113	52360	39500
114	52742	38983
115	53238	38552
116	53741	38124
117	54154	37632
118	54520	37110
119	55034	36689
120	55523	36250
121	55983	35792
122	56313	35252
123	56835	34834
124	57256	34353
125	57752	33918
126	58271	33494
127	58644	32987
128	59008	32477
129	59466	32020
130	59760	31476
131	60247	31036
132	60752	30604
133	61137	30112
134	61535	29628
135	62030	29190
136	62541	28759
137	63051	28327
138	63513	27872
139	64018	27436
140	64504	26991
141	65005	26551
142	65511	26113
143	65983	25660
144	66439	25201
145	66939	24758
146	67360	24286
147	67778	23814
148	68128	23319
149	68645	22881
150	68871	22348
151	69215	21857
152	69674	21403
153	69990	20906
154	70498	20467
155	70897	19996
156	71295	19526
157	71766	19077
158	72276	18637
159	72691	18172
160	73001	17683
161	73532	17248
162	74030	16804
163	74497	16353
164	74988	15906
165	75523	15468
166	75994	15016
167	76486	14568
168	77033	14130
169	77511	13678
170	78009	13229
171	78490	12777
172	78910	12315
173	79392	11863
174	79876	11410
175	80374	10960
176	80849	10505
177	81348	10054
178	81667	9581
179	82227	9136
180	82630	8673
181	83194	8228
182	83692	7774
183	84217	7323
184	84705	6867
185	85209	6413
186	85485	5942
187	85992	5488
188	86406	5028
189	86865	4571
190	87217	4109
191	87594	3649
192	88056	3193
193	88566	2739
194	88963	2281
195	89465	1825
196	89817	1367
197	90228	911
198	90799	456
199	91336	0
